property_id,address,suburb,postcode,property_type,bedrooms,bathrooms,car_spaces,land_size_sqm,internal_area_sqm,year_built,has_pool,has_aircon,renovated,water_view,distance_to_cbd_km,distance_to_station_km,school_catchment_rating,sale_method,days_on_market,sale_date,agent_description,sale_price
MOS-023,56 Harbour St,Mosman,2088,House,4,3,2,639.8,376.6,1989.0,0,1,0,1,6.5,1.11,9.2,Auction,45,2025-01-24,4 bedroom house in Mosman. Well maintained family home. Level lawn for the kids. Immaculately presented. Entertainer's rear deck.,6955000.0
PAR-027,33 Good St,Parramatta,2150,Apartment,1,1,1,0.0,69.9,1992.0,0,1,0,0,23.0,0.49,7.4,Private Treaty,59,2024-02-22,1 bedroom apartment in Parramatta. Internal access from garage. Close to transport and schools.,465000.0
BLA-025,23 Boys Ave,Blacktown,2148,Apartment,1,1,0,0.0,64.3,2025.0,0,1,0,0,36.0,0.62,5.8,Auction,43,2025-01-24,1 bedroom apartment in Blacktown. Internal access from garage. Low maintenance courtyard.,405000.0
PAR-006,56 Harris St,Parramatta,2150,Apartment,2,1,2,0.0,89.4,1977.0,0,1,1,0,23.0,0.67,7.4,Private Treaty,53,2025-01-08,2 bedroom apartment in Parramatta. High end designer kitchen. Resort style landscaped gardens. Internal access from garage. Ducted air conditioning throughout.,785000.0
BLA-001,178 Sunnyholt Rd,Blacktown,2148,House,3,2,2,464.2,202.4,1970.0,0,0,0,0,36.0,1.61,5.8,Private Treaty,16,2023-09-05,3 bedroom house in Blacktown. Needs some work. Ducted air conditioning throughout. Low maintenance courtyard.,645000.0
PAR-007,134 Aird St,Parramatta,2150,House,5,3,2,510.4,303.8,1977.0,0,0,1,0,23.0,1.22,7.4,Private Treaty,49,2025-05-16,5 bedroom house in Parramatta. Brand new bathrooms. Immaculately presented. Low maintenance courtyard. Level lawn for the kids.,1845000.0
MOS-027,154 Rangers Rd,Mosman,2088,Townhouse,4,1,1,222.3,182.5,1970.0,0,1,0,1,6.5,2.36,9.2,Private Treaty,28,2025-08-19,4 bedroom townhouse in Mosman. Walk to village shops. Brand new bathrooms. Well maintained family home. Low maintenance courtyard. First time offered in 40 years.,3110000.0
MOS-016,139 Awaba St,Mosman,2088,Apartment,1,1,0,0.0,52.9,2006.0,0,1,0,0,6.5,1.82,9.2,Auction,4,2025-07-23,1 bedroom apartment in Mosman. Walk to village shops. Secure garaging. Stunning north facing aspect. Well maintained family home.,900000.0
BLA-002,76 Prince St,Blacktown,2148,House,3,2,2,201.7,143.8,1955.0,0,0,0,0,36.0,1.32,5.8,Auction,13,2025-08-17,3 bedroom house in Blacktown. Ducted air conditioning throughout. Sun drenched living areas. Separate laundry with external access. Walk to village shops.,555000.0
MOS-021,57 Clanalpine St,Mosman,2088,Townhouse,3,1,2,332.4,212.9,1969.0,0,1,0,1,6.5,2.49,9.2,Auction,33,2023-12-04,3 bedroom townhouse in Mosman. Walk to village shops. Internal access from garage. Premium blue chip pocket. Separate laundry with external access. Tenanted until settlement.,3940000.0
BLA-038,43 Chapel St,Blacktown,2148,House,2,1,1,276.4,151.5,1929.0,0,0,0,0,36.0,2.07,5.8,Private Treaty,72,2025-06-02,2 bedroom house in Blacktown. Ducted air conditioning throughout. Low maintenance courtyard.,475000.0
BLA-031,115 Lancaster St,Blacktown,2148,House,2,1,0,345.9,201.2,1959.0,0,1,0,0,36.0,1.08,5.8,Auction,36,2024-07-09,2 bedroom house in Blacktown. Level lawn for the kids. Close to transport and schools.,705000.0
PAR-020,67 Aird St,Parramatta,2150,Apartment,2,1,0,0.0,94.7,2013.0,0,1,0,0,23.0,0.82,7.4,Auction,41,2024-06-12,2 bedroom apartment in Parramatta. Immaculately presented. Generous open plan layout. Secure garaging. Brand new bathrooms.,985000.0
PAR-019,120 Church St,Parramatta,2150,Apartment,1,1,0,0.0,67.5,1987.0,0,1,0,0,23.0,0.94,7.4,Auction,40,2024-11-07,1 bedroom apartment in Parramatta. Internal access from garage. Secure garaging. Brand new bathrooms. Resort style landscaped gardens.,850000.0
PAR-001,44 Wentworth St,Parramatta,2150,House,3,1,2,637.4,325.6,1938.0,0,1,0,0,23.0,0.91,7.4,Private Treaty,27,2023-12-12,3 bedroom house in Parramatta. Ducted air conditioning throughout. Original condition throughout. Generous open plan layout.,1485000.0
PAR-004,100 Good St,Parramatta,2150,House,4,2,1,329.6,201.9,1971.0,0,1,0,0,23.0,0.39,7.4,Private Treaty,32,2025-04-14,4 bedroom house in Parramatta. Internal access from garage. Separate laundry with external access. Immaculately presented. High end designer kitchen.,1015000.0
BLA-003,13 Third Ave,Blacktown,2148,House,4,2,2,305.4,177.1,1948.0,0,1,1,0,36.0,0.56,5.8,Auction,19,2025-01-02,4 bedroom house in Blacktown. Separate laundry with external access. Close to transport and schools. Stunning north facing aspect. Soaring cathedral ceilings.,740000.0
BLA-027,97 Boys Ave,Blacktown,2148,Townhouse,4,3,2,206.9,158.9,1979.0,0,1,1,0,36.0,2.54,5.8,Private Treaty,22,2025-07-20,4 bedroom townhouse in Blacktown. Secure garaging. Premium blue chip pocket. Dual street frontage. Level lawn for the kids.,860000.0
MOS-013,58 Gouldsbury St,Mosman,2088,Townhouse,3,2,2,250.9,161.9,1959.0,0,1,0,1,6.5,0.88,9.2,Auction,13,2023-10-27,3 bedroom townhouse in Mosman. Well maintained family home. Ducted air conditioning throughout. Soaring cathedral ceilings. Immaculately presented.,3185000.0
PAR-031,78 Grose St,Parramatta,2150,Townhouse,3,2,1,196.8,153.8,1945.0,0,1,1,0,23.0,0.31,7.4,Private Treaty,36,2024-07-26,3 bedroom townhouse in Parramatta. Stunning north facing aspect. Generous open plan layout. Close to transport and schools. Entertainer's rear deck.,860000.0
MOS-012,32 Gouldsbury St,Mosman,2088,Townhouse,2,1,0,137.3,85.7,2025.0,0,1,0,1,6.5,0.99,9.2,Auction,43,2024-04-09,2 bedroom townhouse in Mosman. Stunning north facing aspect. Resort style landscaped gardens. Generous open plan layout. Separate laundry with external access.,1740000.0
BLA-006,67 Vardys Rd,Blacktown,2148,House,4,2,2,480.1,301.7,1992.0,0,1,0,0,36.0,2.79,5.8,Private Treaty,30,2024-09-05,4 bedroom house in Blacktown. Entertainer's rear deck. Soaring cathedral ceilings. Separate laundry with external access. Secure garaging.,1285000.0
BLA-032,125 Vardys Rd,Blacktown,2148,House,5,3,2,410.2,265.0,1975.0,0,1,0,0,36.0,1.87,5.8,Private Treaty,36,2025-01-25,5 bedroom house in Blacktown. Immaculately presented. Resort style landscaped gardens. Close to transport and schools. Secure garaging.,1185000.0
MOS-019,23 Muston St,Mosman,2088,House,3,2,2,555.4,239.1,1971.0,0,0,1,1,6.5,0.81,9.2,Auction,42,2024-03-24,3 bedroom house in Mosman. Dual street frontage. Walk to village shops. Quiet tree lined street. Secure garaging.,4800000.0
BLA-040,60 Kildare Rd,Blacktown,2148,House,4,2,2,778.7,337.7,1984.0,0,1,0,0,36.0,2.0,5.8,Private Treaty,41,2024-07-05,4 bedroom house in Blacktown. Entertainer's rear deck. Well maintained family home. Quiet tree lined street. Brand new bathrooms.,1455000.0
MOS-003,108 Raglan St,Mosman,2088,House,4,3,2,676.9,286.4,1985.0,0,1,0,0,6.5,2.0,9.2,Auction,17,2023-09-04,4 bedroom house in Mosman. Dual street frontage. Fully renovated throughout. Separate laundry with external access. Internal access from garage.,5545000.0
BLA-028,107 Richmond Rd,Blacktown,2148,House,3,2,1,528.8,276.1,2003.0,0,1,0,0,36.0,2.23,5.8,Auction,25,2024-08-22,3 bedroom house in Blacktown. Low maintenance courtyard. Well maintained family home.,940000.0
MOS-018,155 Raglan St,Mosman,2088,Apartment,2,1,0,0.0,97.8,1990.0,0,1,0,0,6.5,1.34,9.2,Auction,38,2024-11-02,2 bedroom apartment in Mosman. Ducted air conditioning throughout. Generous open plan layout. Fully renovated throughout. Dual street frontage.,1800000.0
MOS-030,55 Redan St,Mosman,2088,Townhouse,2,2,1,251.5,207.4,2021.0,1,1,0,1,6.5,0.92,9.2,Auction,4,2023-12-25,2 bedroom townhouse in Mosman. Low maintenance courtyard. Level lawn for the kids. High end designer kitchen. Soaring cathedral ceilings.,3945000.0
PAR-037,139 Macquarie St,Parramatta,2150,Townhouse,4,3,2,182.8,135.7,1962.0,0,0,0,0,23.0,0.82,7.4,Auction,40,2025-01-26,4 bedroom townhouse in Parramatta. Original condition throughout. Internal access from garage. Well maintained family home. Stunning north facing aspect. Sun drenched living areas.,775000.0
MOS-038,113 Bradleys Head Rd,Mosman,2088,Apartment,2,1,2,0.0,86.3,2007.0,0,0,0,1,6.5,1.83,9.2,Auction,60,2024-08-15,2 bedroom apartment in Mosman. Soaring cathedral ceilings. Quiet tree lined street. Internal access from garage. Stunning north facing aspect.,1760000.0
MOS-031,19 Rangers Rd,Mosman,2088,Apartment,2,1,0,0.0,88.5,2007.0,0,0,0,1,6.5,2.37,9.2,Auction,51,2024-12-13,2 bedroom apartment in Mosman. Premium blue chip pocket. Secure garaging. Quiet tree lined street. Brand new bathrooms.,1710000.0
PAR-012,132 Macquarie St,Parramatta,2150,House,3,2,1,482.2,203.5,2004.0,0,1,0,0,23.0,1.53,7.4,Auction,31,2024-01-13,3 bedroom house in Parramatta. Sun drenched living areas. Generous open plan layout. Immaculately presented. Secure garaging.,1425000.0
PAR-011,56 Marsden St,Parramatta,2150,House,4,2,2,480.5,250.0,1970.0,0,0,0,0,23.0,1.53,7.4,Private Treaty,70,2024-09-16,4 bedroom house in Parramatta. Quiet tree lined street. Close to transport and schools. Premium blue chip pocket. Entertainer's rear deck.,1340000.0
PAR-038,117 Wentworth St,Parramatta,2150,Apartment,2,1,1,0.0,84.1,1981.0,0,1,1,0,23.0,0.55,7.4,Auction,41,2024-12-23,2 bedroom apartment in Parramatta. Generous open plan layout. Dual street frontage. Low maintenance courtyard. Brand new bathrooms.,680000.0
PAR-013,108 Wentworth St,Parramatta,2150,Townhouse,4,2,1,318.1,177.5,1928.0,0,0,0,0,23.0,0.69,7.4,Auction,37,2024-10-05,4 bedroom townhouse in Parramatta. Low maintenance courtyard. Ducted air conditioning throughout. Priced to sell.,920000.0
BLA-014,50 Marcel Ave,Blacktown,2148,Townhouse,3,2,1,,196.7,,0,1,0,0,36.0,2.56,5.8,Auction,18,2025-02-23,3 bedroom townhouse in Blacktown. Secure garaging. Quiet tree lined street.,770000.0
PAR-015,145 Wentworth St,Parramatta,2150,Apartment,1,1,0,0.0,60.3,1974.0,0,0,0,0,23.0,1.23,7.4,Private Treaty,33,2024-03-20,1 bedroom apartment in Parramatta. Secure garaging. Internal access from garage.,420000.0
MOS-028,154 Rangers Rd,Mosman,2088,Apartment,2,2,1,0.0,80.8,2010.0,0,1,1,1,6.5,2.28,9.2,Private Treaty,55,2025-07-19,2 bedroom apartment in Mosman. Dual street frontage. Well maintained family home. Internal access from garage. Immaculately presented.,1800000.0
MOS-004,28 Redan St,Mosman,2088,House,4,2,1,485.6,298.7,1990.0,0,0,0,0,6.5,1.33,9.2,Private Treaty,37,2024-06-12,4 bedroom house in Mosman. Walk to village shops. Soaring cathedral ceilings. Secure garaging. Quiet tree lined street.,4120000.0
MOS-034,132 Gouldsbury St,Mosman,2088,House,4,1,3,665.3,277.8,,1,0,0,0,6.5,1.86,9.2,Private Treaty,33,2025-07-13,4 bedroom house in Mosman. Level lawn for the kids. Ducted air conditioning throughout. Stunning north facing aspect. Resort style landscaped gardens.,5525000.0
PAR-026,131 Ross St,Parramatta,2150,House,4,2,1,628.3,322.1,1940.0,0,1,0,0,23.0,1.42,7.4,Auction,64,2024-02-26,4 bedroom house in Parramatta. Deceased estate. Generous open plan layout. Close to transport and schools.,1420000.0
MOS-037,38 Cowles Rd,Mosman,2088,Apartment,3,2,1,0.0,119.9,2005.0,0,1,1,0,6.5,0.82,9.2,Auction,34,2025-03-25,3 bedroom apartment in Mosman. Generous open plan layout. Soaring cathedral ceilings. Sun drenched living areas. Internal access from garage.,2730000.0
MOS-022,93 Gouldsbury St,Mosman,2088,House,5,3,2,,384.8,1970.0,0,1,0,1,6.5,1.97,9.2,Auction,34,2023-09-15,5 bedroom house in Mosman. Resort style landscaped gardens. Separate laundry with external access. Stunning north facing aspect. Quiet tree lined street.,7885000.0
MOS-033,25 Raglan St,Mosman,2088,Apartment,2,1,0,0.0,84.1,1996.0,0,1,0,1,6.5,2.31,9.2,Auction,35,2023-11-25,2 bedroom apartment in Mosman. Premium blue chip pocket. Entertainer's rear deck. Internal access from garage. Quiet tree lined street.,1680000.0
BLA-007,26 Prince St,Blacktown,2148,House,3,1,2,413.3,238.0,1977.0,0,0,1,0,36.0,2.8,5.8,Private Treaty,41,2024-01-03,3 bedroom house in Blacktown. Close to transport and schools. Premium blue chip pocket. Well maintained family home. Brand new bathrooms.,735000.0
MOS-029,74 Spit Rd,Mosman,2088,House,3,2,2,604.8,285.4,1950.0,0,1,0,1,6.5,2.34,9.2,Auction,27,2023-09-13,3 bedroom house in Mosman. Secure garaging. Walk to village shops. Quiet tree lined street. Immaculately presented.,4185000.0
BLA-017,118 Vardys Rd,Blacktown,2148,House,3,1,2,684.4,273.7,1993.0,0,1,1,0,36.0,1.37,5.8,Private Treaty,57,2023-10-20,3 bedroom house in Blacktown. Level lawn for the kids. Well maintained family home. Stunning north facing aspect. Dual street frontage.,1325000.0
BLA-020,137 Flushcombe Rd,Blacktown,2148,Townhouse,3,2,1,187.8,152.3,1980.0,1,1,1,0,36.0,2.77,5.8,Private Treaty,55,2023-12-25,3 bedroom townhouse in Blacktown. Generous open plan layout. Premium blue chip pocket. Ducted air conditioning throughout. Walk to village shops.,605000.0
BLA-005,93 Vardys Rd,Blacktown,2148,House,4,2,2,379.2,237.1,2004.0,0,1,1,0,36.0,1.78,5.8,Auction,23,2023-09-17,4 bedroom house in Blacktown. Entertainer's rear deck. Soaring cathedral ceilings. Separate laundry with external access. Internal access from garage.,945000.0
PAR-032,50 Good St,Parramatta,2150,Apartment,2,1,1,0.0,79.4,2005.0,0,1,0,0,23.0,0.67,7.4,Auction,52,2023-12-06,2 bedroom apartment in Parramatta. Quiet tree lined street. Brand new bathrooms. Sun drenched living areas. Ducted air conditioning throughout.,670000.0
MOS-036,95 Cowles Rd,Mosman,2088,House,3,2,2,843.6,419.4,1979.0,1,1,0,0,6.5,1.77,9.2,Auction,4,2023-12-09,3 bedroom house in Mosman. Quiet tree lined street. Sun drenched living areas. Stunning north facing aspect. Level lawn for the kids.,6595000.0
MOS-011,166 Rangers Rd,Mosman,2088,Townhouse,2,2,2,246.3,166.5,1955.0,0,1,1,1,6.5,2.25,9.2,Private Treaty,13,2024-10-09,2 bedroom townhouse in Mosman. Dual street frontage. Ducted air conditioning throughout. Internal access from garage. Soaring cathedral ceilings.,2890000.0
BLA-030,83 Bungarribee Rd,Blacktown,2148,Townhouse,2,1,1,248.0,140.2,1992.0,0,1,1,0,36.0,1.99,5.8,Private Treaty,61,2024-12-20,2 bedroom townhouse in Blacktown. Level lawn for the kids. Well maintained family home. Resort style landscaped gardens. Soaring cathedral ceilings.,620000.0
BLA-012,123 Vardys Rd,Blacktown,2148,House,4,2,1,672.2,373.9,1952.0,0,1,1,0,36.0,2.04,5.8,Auction,76,2025-01-16,4 bedroom house in Blacktown. Close to transport and schools. Entertainer's rear deck. Brand new bathrooms. Ducted air conditioning throughout.,1570000.0
MOS-032,1 Bradleys Head Rd,Mosman,2088,Apartment,2,2,0,,83.8,1990.0,0,1,1,1,6.5,1.24,9.2,Auction,30,2024-12-02,2 bedroom apartment in Mosman. Entertainer's rear deck. Low maintenance courtyard. Fully renovated throughout. Level lawn for the kids.,2090000.0
MOS-017,22 Redan St,Mosman,2088,House,4,2,2,562.2,262.9,1974.0,0,1,0,0,6.5,1.07,9.2,Private Treaty,51,2025-01-05,4 bedroom house in Mosman. Quiet tree lined street. Premium blue chip pocket. Structural report available. Well maintained family home. Resort style landscaped gardens.,4760000.0
BLA-036,103 Prince St,Blacktown,2148,Apartment,3,2,1,0.0,125.1,2008.0,0,1,0,0,36.0,1.43,5.8,Private Treaty,54,2025-04-25,3 bedroom apartment in Blacktown. Low maintenance courtyard. Quiet tree lined street. Resort style landscaped gardens. Sun drenched living areas.,845000.0
MOS-002,78 Gouldsbury St,Mosman,2088,Apartment,1,1,1,0.0,66.8,2025.0,0,1,1,1,6.5,2.54,9.2,Auction,17,2025-06-13,1 bedroom apartment in Mosman. Quiet tree lined street. Stunning north facing aspect. Separate laundry with external access. Soaring cathedral ceilings.,1645000.0
BLA-021,148 Flushcombe Rd,Blacktown,2148,House,5,4,3,423.0,254.7,,1,0,0,0,36.0,2.47,5.8,Private Treaty,9,2024-01-09,5 bedroom house in Blacktown. Separate laundry with external access. Walk to village shops. Dual street frontage. Secure garaging.,1155000.0
BLA-029,150 Chapel St,Blacktown,2148,Townhouse,3,2,2,318.2,231.5,1917.0,0,1,1,0,36.0,2.45,5.8,Auction,21,2024-02-11,3 bedroom townhouse in Blacktown. Sun drenched living areas. Close to transport and schools. Soaring cathedral ceilings. Low maintenance courtyard.,870000.0
BLA-037,145 Boys Ave,Blacktown,2148,House,4,3,2,799.7,450.8,2025.0,0,1,0,0,36.0,1.63,5.8,Private Treaty,64,2025-05-06,4 bedroom house in Blacktown. Level lawn for the kids. Immaculately presented. Low maintenance courtyard. Walk to village shops.,2115000.0
MOS-010,5 Spit Rd,Mosman,2088,House,4,2,1,635.9,269.3,1946.0,0,0,1,0,6.5,1.16,9.2,Private Treaty,40,2024-07-04,4 bedroom house in Mosman. Entertainer's rear deck. Premium blue chip pocket. Level lawn for the kids. Separate laundry with external access.,4300000.0
MOS-005,55 Gouldsbury St,Mosman,2088,House,3,1,1,443.8,242.4,1943.0,0,1,0,0,6.5,2.53,9.2,Private Treaty,33,2025-01-08,3 bedroom house in Mosman. Investors take note. Quiet tree lined street. Secure garaging.,2925000.0
MOS-039,94 Raglan St,Mosman,2088,Townhouse,3,2,1,190.5,139.2,2001.0,0,1,0,1,6.5,1.48,9.2,Private Treaty,32,2023-10-10,3 bedroom townhouse in Mosman. Close to transport and schools. Brand new bathrooms. Resort style landscaped gardens. Secure garaging.,2175000.0
PAR-039,173 Grose St,Parramatta,2150,House,3,3,3,644.9,324.6,1951.0,0,1,1,0,23.0,0.5,7.4,Auction,11,2025-03-13,3 bedroom house in Parramatta. Close to transport and schools. Walk to village shops. Dual street frontage. Level lawn for the kids.,2245000.0
PAR-034,2 Campbell St,Parramatta,2150,Townhouse,3,2,0,197.8,153.0,1994.0,0,1,0,0,23.0,0.66,7.4,Private Treaty,68,2025-02-24,3 bedroom townhouse in Parramatta. High end designer kitchen. Walk to village shops. Generous open plan layout. Quiet tree lined street.,975000.0
BLA-009,137 Burdekin Rd,Blacktown,2148,Townhouse,2,1,1,244.1,152.5,,0,1,0,0,36.0,1.52,5.8,Private Treaty,26,2024-05-22,2 bedroom townhouse in Blacktown. Internal access from garage. Low maintenance courtyard.,600000.0
MOS-035,22 Central Ave,Mosman,2088,House,4,3,2,599.7,269.7,1994.0,1,1,0,1,6.5,0.85,9.2,Private Treaty,69,2025-05-20,4 bedroom house in Mosman. Stunning north facing aspect. Generous open plan layout. Ducted air conditioning throughout. Sun drenched living areas.,6515000.0
PAR-025,167 Aird St,Parramatta,2150,Townhouse,3,2,2,126.6,78.3,2025.0,0,1,0,0,23.0,1.0,7.4,Private Treaty,71,2024-08-21,3 bedroom townhouse in Parramatta. Close to transport and schools. Dual street frontage. Low maintenance courtyard. Premium blue chip pocket.,545000.0
PAR-022,167 Sorrell St,Parramatta,2150,House,5,3,3,623.9,378.8,1936.0,0,1,0,0,23.0,0.49,7.4,Private Treaty,4,2024-02-28,5 bedroom house in Parramatta. High end designer kitchen. Immaculately presented. Needs some work. Low maintenance courtyard. Generous open plan layout.,1915000.0
PAR-014,64 Marsden St,Parramatta,2150,Apartment,2,2,2,,84.7,2013.0,0,1,1,0,23.0,0.62,7.4,Auction,23,2025-06-03,2 bedroom apartment in Parramatta. Low maintenance courtyard. Close to transport and schools. Premium blue chip pocket. Brand new bathrooms.,910000.0
BLA-016,147 Sunnyholt Rd,Blacktown,2148,House,3,2,3,631.8,357.9,1968.0,0,1,1,0,36.0,3.11,5.8,Private Treaty,46,2024-02-23,3 bedroom house in Blacktown. High end designer kitchen. Resort style landscaped gardens. Close to transport and schools. Ducted air conditioning throughout.,1320000.0
MOS-025,91 Rangers Rd,Mosman,2088,Apartment,2,2,1,0.0,71.9,,0,1,0,1,6.5,0.95,9.2,Private Treaty,51,2024-06-19,2 bedroom apartment in Mosman. Quiet tree lined street. Immaculately presented. Dual street frontage. Low maintenance courtyard.,1265000.0
PAR-017,176 Macquarie St,Parramatta,2150,Townhouse,2,2,1,256.5,170.2,,0,0,1,0,23.0,0.88,7.4,Private Treaty,58,2024-12-15,2 bedroom townhouse in Parramatta. Dual street frontage. Quiet tree lined street. Low maintenance courtyard. Premium blue chip pocket.,1195000.0
PAR-030,48 Macquarie St,Parramatta,2150,Townhouse,3,2,1,233.7,142.2,1968.0,0,1,0,0,23.0,1.55,7.4,Private Treaty,50,2024-05-28,3 bedroom townhouse in Parramatta. Close to transport and schools. Priced to sell. Secure garaging.,765000.0
PAR-024,88 Grose St,Parramatta,2150,House,3,2,2,,378.6,1972.0,0,1,0,0,23.0,1.11,7.4,Auction,41,2023-12-13,3 bedroom house in Parramatta. Original condition throughout. Walk to village shops. Well maintained family home. Separate laundry with external access. Sun drenched living areas.,2260000.0
BLA-019,6 Flushcombe Rd,Blacktown,2148,House,4,2,2,589.4,263.3,1972.0,0,1,0,0,36.0,1.43,5.8,Private Treaty,40,2023-10-08,4 bedroom house in Blacktown. Structural report available. Brand new bathrooms. Level lawn for the kids. Ducted air conditioning throughout. Walk to village shops.,1090000.0
PAR-021,36 Aird St,Parramatta,2150,Apartment,2,2,1,0.0,79.4,,0,0,1,0,23.0,1.56,7.4,Private Treaty,41,2025-02-15,2 bedroom apartment in Parramatta. Brand new bathrooms. Level lawn for the kids. Close to transport and schools. Fully renovated throughout.,710000.0
MOS-020,46 Shadforth St,Mosman,2088,Apartment,2,1,0,0.0,78.5,,0,1,0,0,6.5,2.08,9.2,Private Treaty,18,2024-09-01,2 bedroom apartment in Mosman. Internal access from garage. Dual street frontage. Fully renovated throughout. Low maintenance courtyard.,1400000.0
MOS-007,119 Muston St,Mosman,2088,Apartment,1,1,2,,64.8,2008.0,0,1,0,0,6.5,1.83,9.2,Auction,48,2025-05-13,1 bedroom apartment in Mosman. Ducted air conditioning throughout. Well maintained family home. Resort style landscaped gardens. High end designer kitchen.,1220000.0
PAR-016,83 Alfred St,Parramatta,2150,Apartment,1,1,0,0.0,62.8,2010.0,0,1,1,0,23.0,0.59,7.4,Private Treaty,49,2024-01-19,1 bedroom apartment in Parramatta. Walk to village shops. Low maintenance courtyard. Immaculately presented. Ducted air conditioning throughout.,490000.0
PAR-036,67 Ross St,Parramatta,2150,Townhouse,4,2,2,171.6,112.3,1974.0,0,1,0,1,23.0,1.72,7.4,Private Treaty,28,2025-02-07,4 bedroom townhouse in Parramatta. Quiet tree lined street. Walk to village shops. Dual street frontage. Close to transport and schools.,850000.0
MOS-001,174 Rangers Rd,Mosman,2088,Apartment,1,1,0,0.0,68.8,2003.0,0,1,0,1,6.5,2.21,9.2,Private Treaty,55,2025-03-19,1 bedroom apartment in Mosman. Dual street frontage. Close to transport and schools. Quiet tree lined street. Fully renovated throughout.,1230000.0
